timestamp_sec,left_x,left_y,right_x,right_y
2.321,0.0985904410481453,0.1410113424062729,0.05127529427409172,0.028525568544864655
2.337,0.1699356883764267,0.29714715480804443,0.14321821928024292,0.2059112787246704
2.352,0.22715118527412415,0.4223606586456299,0.23702622950077057,0.35976681113243103
2.367,nan,nan,nan,nan
2.382,0.2796434462070465,0.861036479473114,nan,nan
2.397,0.28851383924484253,0.866692841053009,0.3005073368549347,0.8474876880645752
2.428,0.29517173767089844,0.8656231164932251,0.29150712490081787,0.8440439105033875
2.428,0.2941049337387085,0.8641639351844788,0.29307860136032104,0.8504676818847656
2.460,0.2881130278110504,0.8711631894111633,0.29460030794143677,0.8498119115829468
2.475,0.28810665011405945,0.8771250247955322,0.2929272949695587,0.8458871841430664
2.491,0.28913816809654236,0.8780290484428406,0.29783710837364197,0.8463014364242554
2.506,0.29045629501342773,0.876234233379364,0.29749438166618347,0.8484410643577576
2.522,0.2921156585216522,0.8753507137298584,0.29186058044433594,0.8492363691329956
2.536,0.2922207713127136,0.8737386465072632,0.2926402688026428,0.8491907119750977
2.551,0.29121920466423035,0.873588502407074,0.29198628664016724,0.8535424470901489
2.566,0.29131054878234863,0.8754358291625977,0.29127585887908936,0.8543070554733276
2.581,0.29118776321411133,0.8763841390609741,0.2951274514198303,0.85462886095047
2.597,0.31226274371147156,0.8981983065605164,0.31880441308021545,0.8777105212211609
2.628,0.3188684582710266,0.9103205800056458,0.3267190456390381,0.8922059535980225
2.643,0.3079458177089691,0.9137837290763855,0.3163805603981018,0.9003161787986755
2.658,0.31485867500305176,0.9132066369056702,0.3145679235458374,0.9047725796699524
2.673,0.31555837392807007,0.9143511652946472,0.31926432251930237,0.8991423845291138
2.689,0.3168812096118927,0.9211446046829224,0.3209151029586792,0.8979474902153015
2.705,0.318835586309433,0.9189729690551758,0.31989148259162903,0.903988778591156
2.720,0.31967446208000183,0.9213582277297974,0.31757766008377075,0.904420793056488
2.735,0.321071594953537,0.9232212901115417,0.3169630765914917,0.9072315096855164
2.750,0.32234442234039307,0.9192212224006653,0.31644758582115173,0.9081135988235474
2.765,0.3216780126094818,0.9156742095947266,0.317749947309494,0.9061650037765503
